loginCount,profileUpdated,lastLoginDays,satisfaction
10,1,5,1
15,0,7,0
8,1,3,1
20,1,1,1
5,0,10,0
18,1,4,1
12,0,8,0
14,1,2,1
7,1,6,0
9,0,12,0
25,1,0,1
30,1,0,1
3,0,15,0
13,0,0,1
1,1,20,0
22,1,5,1
10,0,8,0
18,0,6,0
16,1,9,1
13,1,4,1
8,1,10,0
27,1,2,1
5,1,14,0
17,1,3,1
6,0,12,0
11,1,7,1
14,0,6,0
10,1,0,1
20,0,0,1
5,1,0,0
10,1,5,1
15,0,7,0
8,1,3,1
20,1,1,1
5,0,10,0
18,1,4,1
12,0,8,0
14,1,2,1
7,1,6,0
9,0,12,0
10,1,0,1
10,1,5,1
15,0,7,0
8,1,3,1
20,1,1,1
5,0,10,0
18,1,4,1
12,0,8,0
14,1,2,1
7,1,6,0
9,0,12,0
10,1,0,1
20,1,0,1
5,0,0,0
12,1,0,1
30,0,0,1
2,1,15,0
50,0,0,1
25,1,1,0
3,1,5,0
18,0,2,1
10,0,0,1
8,1,20,1
22,0,0,1
17,1,0,0
30,0,0,1
5,1,0,1
13,1,0,1
9,1,0,0
11,0,0,1
4,1,0,1
19,0,0,1
15,1,0,0
7,0,0,1
0,0,0,0
14,1,0,1
30,1,0,1
10,0,0,1
6,1,12,1
25,0,0,0
3,1,50,0
2,0,0,0
